Level,Degree,Term,CourseName,CourseID,CourseType,CreditHours,Grade
G,M1,1,CourseE1,CE1,Major,4,94
G,M1,1,CourseE2,CE2,Minor,4,76
G,M1,1,CourseE3,CE3,Major,4,88
G,M1,1,CourseE4,CE4,Major,3,93
G,M1,1,CourseE5,CE5,Minor,3,79
G,M1,2,CourseE6,CE6,Major,4,80
G,M1,2,CourseE7,CE7,Minor,4,83
G,M1,2,CourseE8,CE8,Major,4,84
G,M1,3,CourseE9,CE9,Major,3,97
G,M1,3,CourseE10,CE10,Minor,4,76
G,M1,3,CourseE11,CE11,Major,3,90
G,D1,1,CourseF1,CF1,Major,3,76
G,D1,1,CourseF2,CF2,Minor,3,84
G,D1,1,CourseF3,CF3,Major,3,86
G,D1,1,CourseF4,CF4,Major,3,89
G,D1,2,CourseF5,CF5,Minor,4,76
G,D1,2,CourseF6,CF6,Minor,4,90
G,D1,2,CourseF7,CF7,Major,4,93
G,D1,3,CourseF8,CF8,Major,3,94
G,D1,3,CourseF9,CF9,Major,4,86
G,D1,3,CourseF10,CF10,Minor,3,81
G,D1,4,CourseF11,CF11,Major,4,98
G,D1,4,CourseF12,CF12,Minor,4,75
G,D1,4,CourseF13,CF13,Major,3,86
